日期,数值
20081013,41790
20081014,43059
20081015,41641
20081016,39897
20081017,37930
20081020,39400
20081021,37324
20081022,36077
20081023,33906
20081027,32528
20081028,31877
20081029,31940
20081030,33223
20081031,31515
20081103,32620
20081104,31819
20081105,32107
20081106,31080
20081107,29793
20081110,30951
20081111,29319
20081112,29128
20081113,28928
20081114,29814
20081117,29102
20081118,28777
20081119,29297
20081120,27924
20081121,27234
20081124,26859
20081125,27889
20081126,27938
20081127,28458
20081128,27944
20081201,28124
20081202,27165
20081203,26834
20081204,25897
20081205,24686
20081208,25068
20081209,23999
20081210,25118
20081211,25059
20081212,24035
20081215,25039
20081216,24173
20081217,23941
20081218,23100
20081219,22818
20081222,23505
20081223,23023
20081224,23212
20081225,23029
20081226,22565
20081229,23049
20081230,23057
20081231,23914
20090105,24913
20090106,26349
20090107,27307
20090108,26305
20090109,27421
20090112,28257
20090113,26707
20090114,27677
20090115,26588
20090116,27590
20090119,28048
20090120,27876
20090121,27301
20090122,26525
20090123,25914
20090202,25283
20090203,26577
20090204,27159
20090205,27389
20090206,28709
20090209,29597
20090210,29645
20090211,27977
20090212,28388
20090213,28473
20090216,27536
20090217,27490
20090218,26564
20090219,26815
20090220,26647
20090223,27353
20090224,26628
20090225,27564
20090226,27883
20090227,27876
20090302,27664
20090303,28051
20090304,29231
20090305,29515
20090306,29818
20090309,29007
20090310,29252
20090311,29120
20090312,28907
20090313,28999
20090316,29841
20090317,30521
20090318,30651
20090319,31087
20090320,32586
20090323,33609
20090324,32914
20090325,32553
20090326,33897
20090327,33222
20090330,33080
20090331,33482
20090401,33227
20090402,34301
20090403,34221
20090407,35951
20090408,35549
20090409,37022
20090410,38389
20090413,40466
20090414,38731
20090415,39500
20090416,40399
20090417,39420
20090420,39160
20090421,37432
20090422,36540
20090423,36946
20090424,35351
20090427,34923
20090428,34369
20090429,35100
20090430,36393
20090504,38126
20090505,37521
20090506,38065
20090507,38269
20090508,38923
20090511,36890
20090512,36873
20090513,37458
20090514,35580
20090515,35971
20090518,35355
20090519,36931
20090520,36600
20090521,36071
20090522,36329
20090525,36850
20090526,36453
20090527,37234
20090601,39209
20090602,39706
20090603,40692
20090604,39564
20090605,41151
20090608,40452
20090609,40945
20090610,41727
20090611,41549
20090612,41311
20090615,39784
20090616,39332
20090617,39413
20090618,39253
20090619,39030
20090622,38174
20090623,38264
20090624,38981
20090625,39245
20090626,40389
20090629,40269
20090630,40882
20090701,40373
20090702,40180
20090703,39808
20090706,38734
20090707,39155
20090708,38921
20090709,39402
20090710,39428
20090713,38939
20090714,39730
20090715,41358
20090716,41550
20090717,41779
20090720,43617
20090721,43124
20090722,43014
20090723,43420
20090724,43715
20090727,44949
20090728,44842
20090729,42926
20090730,43174
20090731,45216
20090803,47281
20090804,47795
20090805,48037
20090806,47951
20090807,46659
20090810,48726
20090811,48518
20090812,47616
20090813,49935
20090814,50171
20090817,47795
20090818,48137
20090819,46491
20090820,47612
20090821,46826
20090824,49318
20090825,49421
20090826,50031
20090827,49700
20090828,50713
20090831,49342
20090901,49437
20090902,47325
20090903,48710
20090904,49489
20090907,49541
20090908,49862
20090909,50138
20090910,50208
20090911,49234
20090914,47650
20090915,48363
20090916,48786
20090917,49658
20090918,48728
20090921,48758
20090922,48646
20090923,48230
20090924,48213
20090925,47220
20090928,45847
20090929,46457
20090930,48145
20091009,48861
20091012,49046
20091013,48926
20091014,49125
20091015,48756
20091016,48809
20091019,49498
20091020,50195
20091021,50018
20091022,50465
20091023,51325
20091026,51833
20091027,51146
20091028,51262
20091029,50035
20091030,51229
20091102,50837
20091103,50785
20091104,51155
20091105,50751
20091106,51236
20091109,51425
20091110,50827
20091111,50882
20091112,51187
20091113,51158
20091116,52696
20091117,53204
20091118,53973
20091119,53616
20091120,53746
20091123,55083
20091124,54048
20091125,54837
20091126,55128
20091127,53632
20091130,54694
20091201,54897
20091202,55566
20091203,55877
20091204,55872
20091207,55762
20091208,55799
20091209,54607
20091210,54133
20091211,54304
20091214,55033
20091215,55105
20091216,55327
20091217,55684
20091218,55524
20091221,55747
20091222,55383
20091223,55666
20091224,57240
20091225,57780
20091228,58448
20091229,58530
20091230,59114
20091231,59988
20100104,60082
20100105,60570
20100106,61686
20100107,61221
20100108,60794
20100111,62238
20100112,61732
20100113,59818
20100114,60786
20100115,60558
20100118,60913
20100119,61697
20100120,61006
20100121,60907
20100122,59401
20100125,59895
20100126,59255
20100127,59535
20100128,57489
20100129,55534
20100201,54452
20100202,54292
20100203,55873
20100204,54008
20100205,52013
20100208,52615
20100209,53230
20100210,54694
20100211,55390
20100212,56414
20100222,59008
20100223,58981
20100224,58242
20100225,57949
20100226,58112
20100301,60708
20100302,59050
20100303,59587
20100304,59398
20100305,59834
20100308,60652
20100309,60225
20100310,60565
20100311,59299
20100312,59563
20100315,58419
20100316,58817
20100317,60144
20100318,59580
20100319,60294
20100322,59565
20100323,59575
20100324,59300
20100325,59318
20100326,60206
20100329,61890
20100330,61887
20100331,61478
20100401,62364
20100402,62957
20100406,63241
20100407,62966
20100408,61972
20100409,62797
20100412,62807
20100413,62372
20100414,62471
20100415,62513
20100416,62285
20100419,60056
20100420,60819
20100421,60939
20100422,60684
20100423,60638
20100426,61480
20100427,60554
20100428,58385
20100429,58761
20100430,58705
20100504,58143
20100505,56860
20100506,56030
20100507,54561
20100510,56689
20100511,55747
20100512,55978
20100513,56741
20100514,56409
20100517,53610
20100518,53711
20100519,53138
20100520,53979
20100521,53691
20100524,55260
20100525,54118
20100526,54886
20100527,55307
20100528,55781
20100531,55064
20100601,54121
20100602,53365
