time,open,high,low,close,vol
 2011/08/30,905.54,918.21,893.8,895.91,3096149
 2011/08/31,896.48,906.97,884.37,901.57,2071321
 2011/09/01,902.72,911.54,892.12,896.42,1854931
 2011/09/02,894.66,900.29,877.17,882.27,1748105
 2011/09/05,871.23,873.67,846.51,851.19,2262316
 2011/09/06,843.21,855.39,833.33,847.58,1888787
 2011/09/07,853.55,871.52,847.48,870.05,1888951
 2011/09/08,875.5,882.28,861.99,864.43,2035907
 2011/09/09,868.49,883.87,854.07,860.82,1558922
 2011/09/13,849.61,858.02,840.5,852.44,1485410
 2011/09/14,858.75,863.61,838.7,859.41,1715496
 2011/09/15,859.54,865.78,851.83,853.41,1468591
 2011/09/16,859.75,870.03,854.97,859.53,1438465
 2011/09/19,852.34,853.46,833.51,835.93,1712126
 2011/09/20,833.1,847.75,829.55,841.1,1640907
 2011/09/21,840.95,887.55,836.06,879.88,3764376
 2011/09/22,867.28,874.1,848.02,849.91,3149611
 2011/09/23,833.39,859.56,828.65,854.77,2584307
 2011/09/26,845.77,864.21,838.22,845.18,2181229
 2011/09/27,855.68,871.95,849.38,863.28,3162177
 2011/09/28,871.79,877.4,853.8,858.61,2688701
 2011/09/29,852.49,866.92,850.98,859.18,3140533
 2011/09/30,861.79,864.64,845.39,849.47,3082713
 2011/10/10,853.82,859.12,843.53,844.77,2612864
 2011/10/11,867.48,870.85,787.34,801.64,5662230
 2011/10/12,794.25,824.45,776.78,822.52,4018043
 2011/10/13,820.69,826.91,814.15,825.55,3412598
 2011/10/14,826.94,835.89,820.03,827.87,3067391
 2011/10/17,831.49,842.87,829.84,834.12,2474445
 2011/10/18,827.45,829.07,807.01,808.11,2543756
 2011/10/19,813.58,817.67,805.69,807.78,1944575
 2011/10/20,802.46,805.29,768.74,778.69,3234201
 2011/10/21,777.93,781.15,767.09,769.64,1846772
 2011/10/24,773.55,796.53,764.97,792.05,2712920
 2011/10/25,794.76,823.16,786.83,817.48,3885718
 2011/10/26,812.13,833.78,811.55,822.53,4073681
 2011/10/27,824.04,831.93,820.93,826.44,2559081
 2011/10/28,840.14,865.68,840.14,855.35,5269967
 2011/10/31,854.77,855.25,845.72,850.54,2854441
 2011/11/01,841.69,858.23,839.49,845.64,3146797
 2011/11/02,831.46,854.75,823.78,853.94,3851925
 2011/11/03,855.89,866.21,853.12,854.89,4916618
